fold,target,baseline_auc,candidate_auc,gain,fixed_rank_blend_auc,fixed_rank_blend_gain
0,ACL,0.6285714285714286,0.6571428571428571,0.02857142857142858,0.7142857142857143,0.08571428571428574
0,MCL,0.6,0.85,0.25,0.65,0.050000000000000044
0,Medial Meniscus,0.4571428571428572,0.6857142857142857,0.22857142857142854,0.6000000000000001,0.1428571428571429
0,Lateral Meniscus,0.33333333333333337,0.9259259259259259,0.5925925925925926,0.5185185185185186,0.18518518518518523
0,Medial OA,0.7777777777777778,0.9629629629629629,0.18518518518518512,0.888888888888889,0.11111111111111116
0,Lateral OA,0.44999999999999996,0.8,0.3500000000000001,0.6,0.15000000000000002
0,PF OA,0.59375,0.8125,0.21875,0.78125,0.1875
0,Effusion,0.7142857142857143,0.942857142857143,0.22857142857142865,0.7714285714285715,0.05714285714285716
0,Synovitis,0.8285714285714285,0.7428571428571429,-0.08571428571428563,0.8,-0.02857142857142847
0,Baker's,0.7037037037037037,0.5925925925925926,-0.11111111111111116,0.5925925925925926,-0.11111111111111116
0,Contusion,0.7428571428571429,0.6571428571428571,-0.08571428571428574,0.6571428571428573,-0.08571428571428563
0,Fracture,0.5,0.5277777777777777,0.02777777777777768,0.4444444444444445,-0.055555555555555525
1,ACL,0.6333333333333333,0.8666666666666667,0.2333333333333334,0.8,0.16666666666666674
1,MCL,0.8888888888888888,0.3888888888888889,-0.49999999999999994,0.5555555555555556,-0.33333333333333326
1,Medial Meniscus,0.8333333333333334,0.9666666666666667,0.1333333333333333,0.9333333333333333,0.09999999999999998
1,Lateral Meniscus,0.75,0.8214285714285714,0.0714285714285714,1.0,0.25
1,Medial OA,0.8928571428571428,1.0,0.1071428571428572,1.0,0.1071428571428572
1,Lateral OA,1.0,1.0,0.0,1.0,0.0
1,PF OA,0.8,0.8333333333333334,0.033333333333333326,0.8333333333333334,0.033333333333333326
1,Effusion,0.6785714285714285,0.8928571428571428,0.2142857142857143,0.8214285714285714,0.1428571428571429
1,Synovitis,0.9,0.9000000000000001,1.1102230246251565e-16,0.9333333333333333,0.033333333333333326
1,Baker's,0.6111111111111112,1.0,0.38888888888888884,0.7777777777777779,0.16666666666666674
1,Contusion,0.8,0.7333333333333334,-0.06666666666666665,0.7333333333333333,-0.06666666666666676
1,Fracture,0.75,0.75,0.0,0.75,0.0
2,ACL,0.6666666666666667,0.5666666666666667,-0.10000000000000009,0.5666666666666667,-0.10000000000000009
2,MCL,1.0,0.6,-0.4,1.0,0.0
2,Medial Meniscus,0.7333333333333333,0.7333333333333334,1.1102230246251565e-16,0.8,0.06666666666666676
2,Lateral Meniscus,0.46428571428571425,0.3571428571428571,-0.10714285714285715,0.3571428571428571,-0.10714285714285715
2,Medial OA,0.7777777777777778,0.7222222222222222,-0.05555555555555558,0.7222222222222222,-0.05555555555555558
2,Lateral OA,0.41666666666666663,0.75,0.33333333333333337,0.5833333333333333,0.16666666666666663
2,PF OA,0.7142857142857142,0.7142857142857142,0.0,0.7142857142857142,0.0
2,Effusion,0.6,0.6333333333333333,0.033333333333333326,0.5666666666666667,-0.033333333333333326
2,Synovitis,0.9,0.8666666666666667,-0.033333333333333326,0.8666666666666667,-0.033333333333333326
2,Baker's,0.8888888888888888,0.7777777777777778,-0.11111111111111105,0.8333333333333334,-0.05555555555555547
2,Contusion,0.9583333333333334,0.7916666666666666,-0.16666666666666674,1.0,0.04166666666666663
2,Fracture,0.9444444444444444,0.9444444444444444,0.0,1.0,0.05555555555555558
3,ACL,0.3125,0.90625,0.59375,0.71875,0.40625
3,MCL,0.4,0.6,0.19999999999999996,0.5,0.09999999999999998
3,Medial Meniscus,0.8571428571428571,0.7142857142857143,-0.1428571428571428,0.8285714285714285,-0.02857142857142858
3,Lateral Meniscus,0.5925925925925926,0.8148148148148149,0.22222222222222232,0.7777777777777778,0.18518518518518523
3,Medial OA,0.7407407407407407,0.6666666666666666,-0.07407407407407407,0.7037037037037037,-0.03703703703703698
3,Lateral OA,0.7,0.44999999999999996,-0.25,0.55,-0.1499999999999999
3,PF OA,0.6571428571428571,0.5714285714285715,-0.08571428571428563,0.6,-0.05714285714285716
3,Effusion,0.4444444444444444,1.0,0.5555555555555556,0.7638888888888888,0.3194444444444444
3,Synovitis,0.5428571428571429,0.7428571428571429,0.19999999999999996,0.7142857142857143,0.17142857142857137
3,Baker's,0.7999999999999999,0.9,0.10000000000000009,0.9,0.10000000000000009
3,Contusion,0.37037037037037035,0.5925925925925926,0.2222222222222222,0.4444444444444444,0.07407407407407407
3,Fracture,0.7777777777777779,0.888888888888889,0.11111111111111105,0.8888888888888888,0.11111111111111094
4,ACL,0.375,0.8125,0.4375,0.5625,0.1875
4,MCL,0.6,0.75,0.15000000000000002,0.6,0.0
4,Medial Meniscus,0.7777777777777778,0.2222222222222222,-0.5555555555555556,0.38888888888888895,-0.38888888888888884
4,Lateral Meniscus,0.6111111111111112,0.6944444444444446,0.08333333333333348,0.6944444444444445,0.08333333333333337
4,Medial OA,0.5185185185185186,1.0,0.4814814814814814,0.7777777777777779,0.2592592592592593
4,Lateral OA,0.8,0.75,-0.050000000000000044,0.8500000000000001,0.050000000000000044
4,PF OA,0.5555555555555556,0.5925925925925926,0.03703703703703698,0.6666666666666665,0.11111111111111094
4,Effusion,0.2592592592592593,0.5925925925925926,0.33333333333333326,0.33333333333333337,0.07407407407407407
4,Synovitis,0.8055555555555556,0.6666666666666667,-0.13888888888888884,0.7500000000000001,-0.05555555555555547
4,Baker's,0.8518518518518519,0.9629629629629629,0.11111111111111105,0.9259259259259259,0.07407407407407407
4,Contusion,0.7037037037037037,0.8148148148148149,0.11111111111111116,0.8518518518518519,0.14814814814814814
4,Fracture,0.59375,0.625,0.03125,0.59375,0.0
